VCD info: dumpfile mips_sintesis_tb.vcd opened for output.
clk, rst, ALUOut, PC, instruction, ALUOp, aluControl, SrcA, SrcB, memoryOutData
1, 1,          z,          z, zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, x,  x,          x,          x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 
0, 1,          z,          z, zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, x,  x,          x,          x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 
0, 0,          3,         20, 00000001001010000101000000100100, 2,  0,          7,          3, 00000001001010000101000000100101, 
1, 0,          3,         20, 00000001001010000101000000100100, 0,  2,         20,          4, 00000001001010000101000000100101, 
0, 0,          3,         20, 00000001001010000101000000100100, 0,  2,         20,          4, 00000001001010000101000000100101, 
1, 0,         24,         24, 00000001001010000101000000100101, 0,  2,         24,      82068, 00000001001010000101000000100110, 
0, 0,         24,         24, 00000001001010000101000000100101, 0,  2,         24,      82068, 00000001001010000101000000100110, 
1, 0,      82092,         24, 00000001001010000101000000100101, 2,  1,          7,          3, 00000001001010000101000000100110, 
0, 0,      82092,         24, 00000001001010000101000000100101, 2,  1,          7,          3, 00000001001010000101000000100110, 
1, 0,          7,         24, 00000001001010000101000000100101, 2,  1,          7,          3, 00000001001010000101000000100110, 
0, 0,          7,         24, 00000001001010000101000000100101, 2,  1,          7,          3, 00000001001010000101000000100110, 
1, 0,          7,         24, 00000001001010000101000000100101, 0,  2,         24,          4, 00000001001010000101000000100110, 
0, 0,          7,         24, 00000001001010000101000000100101, 0,  2,         24,          4, 00000001001010000101000000100110, 
1, 0,         28,         28, 00000001001010000101000000100110, 0,  2,         28,      82072, 00000001001010000101000000100111, 
0, 0,         28,         28, 00000001001010000101000000100110, 0,  2,         28,      82072, 00000001001010000101000000100111, 
1, 0,      82100,         28, 00000001001010000101000000100110, 2, 13,          7,          3, 00000001001010000101000000100111, 
0, 0,      82100,         28, 00000001001010000101000000100110, 2, 13,          7,          3, 00000001001010000101000000100111, 
1, 0,          4,         28, 00000001001010000101000000100110, 2, 13,          7,          3, 00000001001010000101000000100111, 
0, 0,          4,         28, 00000001001010000101000000100110, 2, 13,          7,          3, 00000001001010000101000000100111, 
1, 0,          4,         28, 00000001001010000101000000100110, 0,  2,         28,          4, 00000001001010000101000000100111, 
0, 0,          4,         28, 00000001001010000101000000100110, 0,  2,         28,          4, 00000001001010000101000000100111, 
1, 0,         32,         32, 00000001001010000101000000100111, 0,  2,         32,      82076, 10101101000010010000000000011011, 
0, 0,         32,         32, 00000001001010000101000000100111, 0,  2,         32,      82076, 10101101000010010000000000011011, 
1, 0,      82108,         32, 00000001001010000101000000100111, 2, 12,          7,          3, 10101101000010010000000000011011, 
0, 0,      82108,         32, 00000001001010000101000000100111, 2, 12,          7,          3, 10101101000010010000000000011011, 
1, 0, 4294967288,         32, 00000001001010000101000000100111, 2, 12,          7,          3, 10101101000010010000000000011011, 
0, 0, 4294967288,         32, 00000001001010000101000000100111, 2, 12,          7,          3, 10101101000010010000000000011011, 
1, 0, 4294967288,         32, 00000001001010000101000000100111, 0,  2,         32,          4, 10101101000010010000000000011011, 
0, 0, 4294967288,         32, 00000001001010000101000000100111, 0,  2,         32,          4, 10101101000010010000000000011011, 
1, 0,         36,         36, 10101101000010010000000000011011, 0,  2,         36,        108, 10001100000010110000000001111000, 
0, 0,         36,         36, 10101101000010010000000000011011, 0,  2,         36,        108, 10001100000010110000000001111000, 
1, 0,        144,         36, 10101101000010010000000000011011, 0,  2,          3,         27, 10001100000010110000000001111000, 
0, 0,        144,         36, 10101101000010010000000000011011, 0,  2,          3,         27, 10001100000010110000000001111000, 
1, 0,         30,         36, 10101101000010010000000000011011, 0,  2,          3,         27, 00000001001010000101000000100111, 
0, 0,         30,         36, 10101101000010010000000000011011, 0,  2,          3,         27, 00000001001010000101000000100111, 
1, 0,         30,         36, 10101101000010010000000000011011, 0,  2,         36,          4, 10001100000010110000000001111000, 
0, 0,         30,         36, 10101101000010010000000000011011, 0,  2,         36,          4, 10001100000010110000000001111000, 
1, 0,         40,         40, 10001100000010110000000001111000, 0,  2,         40,        480, 00010101000010010000000000000101, 
0, 0,         40,         40, 10001100000010110000000001111000, 0,  2,         40,        480, 00010101000010010000000000000101, 
1, 0,        520,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00010101000010010000000000000101, 
0, 0,        520,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00010101000010010000000000000101, 
1, 0,        120,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00000000000000000000000000000111, 
0, 0,        120,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00000000000000000000000000000111, 
1, 0,        120,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00000000000000000000000000000111, 
0, 0,        120,         40, 10001100000010110000000001111000, 0,  2,          0,        120, 00000000000000000000000000000111, 
1, 0,        120,         40, 10001100000010110000000001111000, 0,  2,         40,          4, 00010101000010010000000000000101, 
0, 0,        120,         40, 10001100000010110000000001111000, 0,  2,         40,          4, 00010101000010010000000000000101, 
1, 0,         44,         44, 00010101000010010000000000000101, 0,  2,         44,         20, 00000000000000000000000000000000, 
